,xauth_0,xhub_0,auth_ranking,hub_ranking
24931,0.4127867786688546,0.0,0,37363
8568,0.25041914685172667,0.0,1,52140
35402,0.24117095580851183,0.0,2,42832
35037,0.23866937278973677,0.0,3,42831
22705,0.23633572673208786,0.004044767393427189,4,4248
35108,0.16616291869664057,0.0,5,42830
22294,0.13620859468868826,0.0,6,42829
35331,0.12384360646732723,0.0,7,42828
10557,0.10664240003989302,0.027168386085917547,8,336
22068,0.10565283297769448,0.0,9,42827
21353,0.10219094732252705,0.0,10,42826
24808,0.08998507931491723,0.0,11,42825
10316,0.08877835941211655,0.004277381525651603,12,4050
35249,0.0855097499491339,0.0032438108762313954,13,5046
24385,0.08524155054831588,0.0,14,42824
36220,0.08451214880813909,0.03618371916256756,15,162
35330,0.08437060230311604,0.01752753100641476,16,759
14298,0.08226985242576022,0.0,17,42823
25089,0.07992238115872084,0.02757570196860191,18,325
32082,0.07906004922028875,0.0,19,42822
37552,0.076012016928888,0.0,20,42821
25177,0.07433165536057189,0.02938409161073239,21,272
24704,0.07287979794147909,0.012733439121454132,22,1171
24756,0.07188423358018939,0.0,23,42820
8569,0.06979340637946183,0.0,24,42818
35401,0.06945231551904955,0.013782089635185062,25,1039
34418,0.0688702261340151,0.0,26,42804
47388,0.06827625699141333,0.013686585203782782,27,1050
24684,0.06604269932008282,0.0,28,42817
24586,0.06599962011050439,0.0,29,42816
24707,0.06369736925120764,0.0,30,42815
35555,0.06267608105891231,0.0,31,42814
35645,0.061909651234081334,0.03614712550755041,32,163
9876,0.0617353465620213,0.012645274145844222,33,1176
10481,0.06102484083044984,0.03811327828768539,34,141
21900,0.06038139189280298,0.0,35,42813
22577,0.05976880397039958,0.0,36,42812
34607,0.058560806786982854,0.0,37,42811
35266,0.05618590891395093,0.0,38,42810
24679,0.055978085323221606,0.0,39,42809
10188,0.05575110903240148,0.044212515991955595,40,69
24489,0.05469789491249025,0.0,41,42808
74388,0.053572474027191154,0.0,42,42807
36076,0.05269820920179179,0.019926116112773708,43,618
35780,0.05180534803380422,0.015762071399248272,44,877
22845,0.05171686830558772,0.0,45,42806
35661,0.05166598681755134,0.029143459298401408,46,280
33002,0.051138859427619164,0.002334563907565467,47,6388
9926,0.050024747601173064,0.0,48,42805
46622,0.04986765213022124,0.015727542849246923,49,880
22852,0.04959265393646571,0.0,50,42833
26046,0.048352998160540644,0.03218677460125021,51,217
35180,0.04821420069795132,0.012949499106222888,52,1145
34893,0.048134002343368454,0.0,53,42819
36258,0.04766275782127151,0.038142690759090644,54,140
25245,0.0476132446110981,0.008384339324251831,55,1984
25176,0.0472251311935577,0.03066589930501499,56,242
46705,0.0462501570497568,0.0,57,42834
24413,0.04592734338395575,0.0,58,42851
36128,0.04571788093312676,0.0,59,42864
24461,0.04522858932977263,0.0,60,42863
25606,0.045124171660576515,0.040922739374736485,61,104
43185,0.04460306235353815,0.0,62,42862
46718,0.04455049634710746,0.0,63,42861
35443,0.04422416545753022,0.0044104324247594045,64,3931
33466,0.043522069162528355,0.0,65,42860
35400,0.042763984954746814,0.015240210320187844,66,926
35694,0.042348950687794706,0.0,67,42859
10196,0.04221355878517741,0.0043307463901631725,68,4001
36429,0.042080239706637226,0.0,69,42858
25712,0.04169581526709797,0.044913475943032855,70,62
35626,0.041371431104723466,0.02695339887627283,71,341
24458,0.04069002227683366,0.0,72,42857
65332,0.04038384519149219,0.013619612369236266,73,1057
34829,0.040347405949179176,0.005036384954799053,74,3482
35615,0.040009704579600514,0.032202746445680976,75,215
35775,0.039661862324094306,0.0,76,42856
35613,0.039654974115949884,0.0,77,42855
35422,0.039528024085961705,0.01664527890511455,78,809
22307,0.03938325285930345,0.0,79,42854
35440,0.03938037592997205,0.0,80,42853
35585,0.03916317267165708,0.009790741659521571,81,1635
24485,0.038985397073851034,0.006242790399739525,82,2764
25030,0.0388278959414839,0.0191826188429664,83,666
24802,0.038794786006459026,0.0,84,42852
16467,0.0383980291563949,0.010593447313496296,85,1491
67710,0.03824997324851652,0.007889521686771392,86,2132
22948,0.037669463791532264,0.0,87,42850
47337,0.03764101224701671,0.01721735763671351,88,775
24412,0.037167223295781364,0.0,89,42836
21918,0.037096528629399834,6.591991134406487e-05,90,24105
10559,0.03700321916052431,0.03419421215999489,91,185
25178,0.036919656946955696,0.04140784804982334,92,99
15613,0.036908358682310495,0.024086847105447624,93,431
13326,0.03658632608942711,0.000270572145050487,94,17149
13125,0.036513715558588476,7.227610960146133e-06,95,30153
29928,0.03642712672130656,0.0,96,42849
17609,0.036400403434582305,0.05214586225147564,97,23
47439,0.0362673975728913,0.007839203950717364,98,2141
29615,0.0360023933144877,0.0,99,42848
35752,0.03587778772431198,0.012226198579518753,100,1223
35429,0.0351399405034166,0.021496390048059182,101,541
22532,0.034947341364211036,0.0,102,42847
35345,0.03482439099320708,0.0,103,42846
46666,0.0344289951871008,0.011183134790058124,104,1387
35914,0.03430152523727937,0.0,105,42845
9589,0.033995752589849555,0.0,106,42844
35387,0.03343145613078982,0.0,107,42843
9920,0.03343048460876037,0.0,108,42842
4389,0.033390438211872465,0.0,109,42841
24736,0.033365308125468,0.0,110,42840
10627,0.03330621721219737,0.007726286471099249,111,2172
35545,0.03330276320938467,0.0,112,42839
25411,0.03328746615244716,0.04006739984181757,113,116
34706,0.033215606642112566,0.005093761651788131,114,3444
9921,0.033140254894909286,0.0,115,42838
24608,0.03312130003738714,0.0,116,42837
35269,0.032975108798162116,0.0,117,42835
36428,0.032277729625662145,0.0,118,42802
25620,0.032163924071178504,0.035595542575382395,119,172
4554,0.03205711448052131,0.03589743830012521,120,167
25322,0.03180392184829,0.01795143629127391,121,732
43462,0.03165851190342925,0.0,122,42771
25925,0.031654178691830986,0.05078648667149529,123,27
35412,0.031523567634980154,0.0,124,42801
44176,0.03127494958388811,0.005501216537595569,125,3180
16005,0.0312624660370755,0.0,126,42768
34972,0.031196587481291806,0.0,127,42767
22967,0.030953316166930676,0.0,128,42766
35494,0.030868356669413916,0.009576523875983518,129,1688
24424,0.03039922912522154,0.0,130,42765
32390,0.03025317565377842,0.0,131,42764
35917,0.029155934952747105,0.0,132,42763
10269,0.028825307914272763,0.001997971749299274,133,7026
21925,0.028729925206376194,0.0,134,42762
36215,0.028680090231661532,0.0,135,42761
9561,0.02862336937899939,0.0,136,42760
34942,0.02860834507853139,0.004120193275019491,137,4191
9868,0.028558893761461437,2.6057487223136315e-05,138,27372
22292,0.02844107842404356,0.00019892493461447068,139,18696
25068,0.028355458940844864,0.020326461156023327,140,597
35883,0.028061883254727794,0.010833587291831575,141,1445
37806,0.027968822388573646,0.0038635418504766594,142,4389
25260,0.02772673242974174,0.01982058552040189,143,627
36257,0.027542928483724426,0.024112712864340496,144,429
32550,0.02745745357637997,0.0,145,42759
41888,0.027053630780325785,0.016971091233867655,146,790
9712,0.02702255538224704,0.0,147,42758
23682,0.02684397286586533,0.006563879488798039,148,2620
35005,0.02680514724017242,0.0,149,42757
35727,0.026626635074787068,0.012128505066006505,150,1237
4040,0.02654418639088613,0.0,151,42756
34943,0.026215114546411532,0.0,152,42754
9719,0.025882900415898042,0.0,153,42740
